General form,Format type,Example
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/28/10
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
dd-mmm-yy,DATEw,28-Oct-90
dd-mmm-yyyy,DATEw,28-Oct-1990
mm/dd/yy,ADATEw,10/28/90
mm/dd/yyyy,ADATEw,10/28/1990
dd.mm.yy,EDATEw,28.10.90
dd.mm.yyyy,EDATEw,28.10.1990
yy/mm/dd,SDATEw,90/10/28
yyyy/mm/dd,SDATEw,1990/10/28
mmm yyyy,MOYRw,Oct 1990
dd-mmm-yyyy hh:mm,DATETIMEw,20-Jun-1990 08:03
dd-mmm-yyyy hh:mm:ss.s,DATETIMEw.d,20-Jun-1990 08:03:00
yyyy-mm-dd hh:mm,YMDHMSw,1990-06-20 08:03
yyyy-mm-dd hh:mm:ss.s,YMDHMSw.d,1990-06-20 08:03:00
test14,test14,
test15,test15,
test16,test16,
test17,test17,
test18,test18,
test19,test19,
test20,test20,
test21,test21,
test22,test22,
test23,test23,
test24,test24,
test25,test25,
test26,test26,
test27,test27,
test28,test28,
test29,test29,
test30,test30,
test31,test31,
test32,test32,
test33,test33,
test34,test34,
test35,test35,
test36,test36,
test37,test37,
test38,test38,
test39,test39,
test40,test40,
test41,test41,
test42,test42,
test43,test43,
test44,test44,
test45,test45,
test46,test46,
test47,test47,
test48,test48,
test49,test49,
test50,test50,
test51,test51,
test52,test52,
test53,test53,
test54,test54,
test55,test55,
test56,test56,
test57,test57,
test58,test58,
test59,test59,
test60,test60,
test61,test61,
test62,test62,
test63,test63,
test64,test64,
test65,test65,
test66,test66,
test67,test67,
test68,test68,
test69,test69,
test70,test70,
test71,test71,
test72,test72,
test73,test73,
test74,test74,
test75,test75,
test76,test76,
test77,test77,
test78,test78,
test79,test79,
test80,test80,
test81,test81,
test82,test82,
test83,test83,
test84,test84,
test85,test85,
test86,test86,
test87,test87,
test88,test88,
test89,test89,
test90,test90,
test91,test91,
test92,test92,
test93,test93,
test94,test94,
test95,test95,
test96,test96,
test97,test97,
test98,test98,
test99,test99,
test100,test100,
test101,test101,
dd-mmm-yy,DATEw,28-Oct-90
dd-mmm-yyyy,DATEw,28-Oct-1990
mm/dd/yy,ADATEw,10/28/90
mm/dd/yyyy,ADATEw,10/28/1990
dd.mm.yy,EDATEw,28.10.90
dd.mm.yyyy,EDATEw,28.10.1990
yy/mm/dd,SDATEw,90/10/28
yyyy/mm/dd,SDATEw,1990/10/28
mmm yyyy,MOYRw,Oct 1990
dd-mmm-yyyy hh:mm,DATETIMEw,20-Jun-1990 08:03
dd-mmm-yyyy hh:mm:ss.s,DATETIMEw.d,20-Jun-1990 08:03:00
yyyy-mm-dd hh:mm,YMDHMSw,1990-06-20 08:03
yyyy-mm-dd hh:mm:ss.s,YMDHMSw.d,1990-06-20 08:03:00
